text,sentiment,race,category
“@Oblock_Page: #ClassOf2014 IN THIS BITCH ❗️”,Positive,Positive,pos_pos
If I could see oomf twerk &gt;&gt;,Positive,Positive,pos_pos
Life of a savage,Positive,Positive,pos_pos
“@LINKLOVE_: I'm mean asab but Idc Idc Idc ” SHUT UP,Positive,Positive,pos_pos
"I don't see nothin wroooonggggg, wit a little bump and grind",Positive,Positive,pos_pos
On da FaceTime thang with this nigga @Yung_Elle,Positive,Positive,pos_pos
Now ima show u fuck all dat we brothers shit Kuz ion wanna hear dat this time,Positive,Positive,pos_pos
“@f3toast: AHHHHGGGGGHHHHH!!!!!”-  imma let you have your moment but its only preseason lol,Positive,Positive,pos_pos
I Love you baby Kay,Positive,Positive,pos_pos
A couple years before and his pink ass girlfriend wouldnt even have that title. Lls. Oop.,Positive,Positive,pos_pos
She Be On That Dumb Shit ✋So Now I'm On That ME Shit ☝️❗️,Positive,Positive,pos_pos
We the youngest niggas doin this shit out here  #YNIC,Positive,Positive,pos_pos
Gotta turn my savage up a lil mo,Positive,Positive,pos_pos
I be waiting,Positive,Positive,pos_pos
I feel like messing with The ATM squad they funny!,Positive,Positive,pos_pos
Black cheer uniforms coming soon ...,Positive,Positive,pos_pos
Wad Mak U Think Yo Bitch Dnt Want Me ???,Positive,Positive,pos_pos
"FDB , Lol don't got nobody to go with . Guess I'll just go to Ville vs. Heights",Positive,Positive,pos_pos
females love grape niggaz,Positive,Positive,pos_pos
3 &amp; Out #RavensDefense  ‼️‼️,Positive,Positive,pos_pos
Send Me Emoji's ✈️,Positive,Positive,pos_pos
MIXED EMOTIONS RIGHT NOW:,Positive,Positive,pos_pos
Big bro out @Zoe_That_Nigga,Positive,Positive,pos_pos
You The Shit &amp; You know it ❗️,Positive,Positive,pos_pos
I love this shyt,Positive,Positive,pos_pos
Bitch ass niggas wanna sleep on me? Now I'm a nightmare,Positive,Positive,pos_pos
3:17  born day bitches,Positive,Positive,pos_pos
I got another award,Positive,Positive,pos_pos
"Up vampin, who up with me",Positive,Positive,pos_pos
✊ - I Said Initials lol But You Cool Ppls and I Know You Miss The Kid,Positive,Positive,pos_pos
Talking about I might had tourn my acl..,Positive,Positive,pos_pos
@OmgIts_Jiyaa Lol In Hell !,Positive,Positive,pos_pos
Send me emojis,Positive,Positive,pos_pos
Me and my Brova The Don really them niggas,Positive,Positive,pos_pos
I'm Quece Who The Fuck Is You   ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟,Positive,Positive,pos_pos
Mfs Be Trying To Sleep On Us Darkskin Niggas,Positive,Positive,pos_pos
I been thugn since a youngin,Positive,Positive,pos_pos
BALLIN ❗️❗️“@_lilzai: Puttin Numbers on da Boards               6⃣0⃣0⃣”,Positive,Positive,pos_pos
All this cash in my pockets,Positive,Positive,pos_pos
But you in...nvm,Positive,Positive,pos_pos
I want my hair wand !!!,Positive,Positive,pos_pos
“@_901kell: You ain't the mafia if u can't tell me da first 8” or were it originated,Positive,Positive,pos_pos
🆗 why you ain't try out this year,Positive,Positive,pos_pos
Who tryna rob on gta 5 this Halloween night,Positive,Positive,pos_pos
I be full of ignorance,Positive,Positive,pos_pos
I Want Her I Really Want Here,Positive,Positive,pos_pos
“@LyssaBitess__: @KennyThaNOBODY nah not like that ” dtfl! i aint think soo,Positive,Positive,pos_pos
these hoes love me like satan.,Positive,Positive,pos_pos
Girl.. Ik yu want dis dickk..,Positive,Positive,pos_pos
My BackBlock Savages Hang With Me✅,Positive,Positive,pos_pos
Got my baby back  about fucking time,Positive,Positive,pos_pos
Grew up a savage ain't no hoe in me,Positive,Positive,pos_pos
Eighth Of Sour Our Situation For Powerhouse,Positive,Positive,pos_pos
@Lexii_TheQueen Good Morning,Positive,Positive,pos_pos
All my niggaz they gone ride click clack bang bang,Positive,Positive,pos_pos
We ain't playing no games wit 'em 🆙,Positive,Positive,pos_pos
@Roycetheone_23 HappyBday Big Cuz. Make Sure You Turnup &amp; Cashout Man,Positive,Positive,pos_pos
My attitude don't make shit better,Positive,Positive,pos_pos
“@__julianm: @___Sizzzleee thats what tf you think but you wrong im a grown ass man ” on that note,Positive,Positive,pos_pos
Good morning good morning!!,Positive,Positive,pos_pos
Just found mad throwback. Bout to be hella annoying on ig today.,Positive,Positive,pos_pos
I had a fuckin' blast . We really turned up like ✊,Positive,Positive,pos_pos
"If I Was With That Beef Shit! I'm Kooln Dough! Chris Y'all, Jus Be Kool n Worry Bout Y'all Nigga Skillz, #PrayForSkillet",Positive,Positive,pos_pos
@ghettobarbie_1 go Head Willie Comeing,Positive,Positive,pos_pos
Looks like I'm vampin tonight yo!,Positive,Positive,pos_pos
JROTC kids selling that shocklet........,Positive,Positive,pos_pos
baee just called free himm,Positive,Positive,pos_pos
"I told them you suppose to take it to the head  then they come at me with \How u know"" """,Positive,Positive,pos_pos
When I kill yo ass don't say shxt,Positive,Positive,pos_pos
machine gun raps,Positive,Positive,pos_pos
My Broski Alex Finna Come Put a Nigga In Traffic ✌..,Positive,Positive,pos_pos
Who gonna be my Wcw❓,Positive,Positive,pos_pos
"what we on today squad?  @ShePrettyRenee 
i wanna go shopping later",Positive,Positive,pos_pos
Message me an emoji or number!! I'll make a tweet about you,Positive,Positive,pos_pos
“@Ima_Young: @Dymone__ cause it can be war” do it,Positive,Positive,pos_pos
On this old Sosa,Positive,Positive,pos_pos
With Jacka Ruu later on,Positive,Positive,pos_pos
Bouta go M.I.A after New Years gotta get my hustle up,Positive,Positive,pos_pos
send emojis ..,Positive,Positive,pos_pos
“@ThaKidd_Tam: Idk Why ReAnna Showed Me This Pic#EasyBlackmail ” i gt then pics dawg this shit will b war!,Positive,Positive,pos_pos
Good morning twitter,Positive,Positive,pos_pos
Sippin By Myself,Positive,Positive,pos_pos
@TweetTWEETBtchs lol umhmm that's how we do it shawty,Positive,Positive,pos_pos
Damn I Got Drivin School Inna Morning,Positive,Positive,pos_pos
I wanna do something tomorrow night just because it's Halloween .....but y'all ain't on shit,Positive,Positive,pos_pos
` vamping  ...,Positive,Positive,pos_pos
"Go 2 helllol
U ain't slapping shit! #OnMe",Positive,Positive,pos_pos
HDM  Don't Be Scared,Positive,Positive,pos_pos
And light this purple up #5,Positive,Positive,pos_pos
I can be the cruddy man,Positive,Positive,pos_pos
I love twatching,Positive,Positive,pos_pos
"Thinking that's yo nigga , when you looking at the fucking devil",Positive,Positive,pos_pos
Glad I test drove it now I know what I'm getting,Positive,Positive,pos_pos
Naw lemme delete that ,Positive,Positive,pos_pos
“@ManUp_BandUp_: 5 More Days till My Gday”and u still a Lil bitch,Positive,Positive,pos_pos
Before I go to heaven  I'm a raise hell,Positive,Positive,pos_pos
Ima gone do lil mama perm. When I get done her shit gone laid,Positive,Positive,pos_pos
"lmao wednesday, Thursday, Friday, and Saturday gone be the days somebody giving up that ass.",Positive,Positive,pos_pos
Lean so dark it look like liquor,Positive,Positive,pos_pos
"“@youngplayaaa: you ain't gotta like me, but ya will respect me ”",Positive,Positive,pos_pos
Them drinks had me like ,Positive,Positive,pos_pos
Trill nicca like me could use her fat ass food stamps,Positive,Positive,pos_pos
never ask me that,Positive,Positive,pos_pos
I keep it too playa,Positive,Positive,pos_pos
“@Josh_TNDO: Im A Ride Or Die For My #Squad”,Positive,Positive,pos_pos
that bubba kush,Positive,Positive,pos_pos
U gotta watch ya girl cause I might come for her,Positive,Positive,pos_pos
Tayana Must Miss Her Some Savage T,Positive,Positive,pos_pos
I want knee knee,Positive,Positive,pos_pos
Im never lackin im pistol packin,Positive,Positive,pos_pos
"Anyway, I'm just waiting for Friday to TURN UP W/ @YsaMelenda @Samm1094 &amp; @saabstacy",Positive,Positive,pos_pos
Everytime I spend all the money on this gift card and check it 1 month later there's always money on it,Positive,Positive,pos_pos
These Mfs Not Funny,Positive,Positive,pos_pos
“@_mxsm:  more minutes dad ‼️”  yessss,Positive,Positive,pos_pos
It's A lot Of Trill Girls In E.O &gt;,Positive,Positive,pos_pos
@DID_I_AMAYS_YOU I been good u never text me,Positive,Positive,pos_pos
@SanRiley_  If you get me two things we have a deal,Positive,Positive,pos_pos
Pussy then drowned my condom!!,Positive,Positive,pos_pos
Lightshow and em just jih fucked dat joint up.,Positive,Positive,pos_pos
"In the club , high off , with my  on.",Positive,Positive,pos_pos
I know your only mistress is Mary Jane,Positive,Positive,pos_pos
I know yu Ain't That Nigga Yu Clam to be,Positive,Positive,pos_pos
It's time ima take them draws,Positive,Positive,pos_pos
Don't judge me 2night lbs lol,Positive,Positive,pos_pos
That Kendrick Lamar was just hollin,Positive,Positive,pos_pos
I still wanna go to the gym.,Positive,Positive,pos_pos
@MADEYOU_LooK_ you know exactly what I'm talking about &lt;--- that's you by the way,Positive,Positive,pos_pos
"Up&amp; Aint shit to Do , Bou to play Gta v",Positive,Positive,pos_pos
♎️ : You Cool &amp; Stuff But You Weird A Lil  &amp; You Never Speak When I See Yu On The Bus In The Am,Positive,Positive,pos_pos
@GirlIm_Vintage nah . I think I'll stay up for a few more hours .. You sleep,Positive,Positive,pos_pos
Ya girlfriend mad ? we can put her on !.,Positive,Positive,pos_pos
i dont have any friends like talking bout,Positive,Positive,pos_pos
I used to talk to all the Spanish females back in them Facebook days,Positive,Positive,pos_pos
With My Nina Chiefin Keefin,Positive,Positive,pos_pos
I be fuckkn niggas bitches so what,Positive,Positive,pos_pos
Wat Mfs On,Positive,Positive,pos_pos
Rick Ross Be Having Me Soooooooo Turnt,Positive,Positive,pos_pos
-  Fake Ass But You MexicoShawty,Positive,Positive,pos_pos
Bally out here snatchin gold chains  @GBE_BALLOUT #GloGang fuck yo gang,Positive,Positive,pos_pos
some friends are enemies in disguise ...... ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟,Positive,Positive,pos_pos
I Never wife a bitch now,Positive,Positive,pos_pos
I'm bout to back out tho,Positive,Positive,pos_pos
“@BoysEatCookies: are tense AF*” need a massage?,Positive,Positive,pos_pos
Getting Money Fucking Hoes Is Wat I Kno Best,Positive,Positive,pos_pos
"y'all niggas be cuffin hoes , that's the reason why you mad nigga ?",Positive,Positive,pos_pos
I'm crazy too,Positive,Positive,pos_pos
&amp; let's not talk about how I'm selfish &amp; jealous over lil bs!,Positive,Positive,pos_pos
"\@ShutupSonriente: @LavishKay__ glo up 🆗"" Then I'm GLOING THEN """,Positive,Positive,pos_pos
Out with my niggas tonight,Positive,Positive,pos_pos
10:17 GloGang hoes on our dick,Positive,Positive,pos_pos
..... She fucked up when she gave me some pussy.,Positive,Positive,pos_pos
"Pull up in the Phantom ⬛️, The Hood Cant Stand it",Positive,Positive,pos_pos
It will get ugly.,Positive,Positive,pos_pos
"\@TJWM_: Ain't no acting up when you got a crazy bitch like me on yo hands    cause I got that act right for yo ass""""",Positive,Positive,pos_pos
Catch 11:13 for me,Positive,Positive,pos_pos
Tonite bouta be too funn after iGet off work in the morning  lol,Positive,Positive,pos_pos
@AgentZeroCF @nikkothegreat6 lol niko trash but I got the lakers I need vino,Positive,Positive,pos_pos
Shit Gettin Realer Everyday,Positive,Positive,pos_pos
Baby Cus I like you,Positive,Positive,pos_pos
Where that at,Positive,Positive,pos_pos
Im bouta blow somebody phone up,Positive,Positive,pos_pos
"Tell that girl, girl it's a Friday.",Positive,Positive,pos_pos
I guess you can say I'm kinda evil,Positive,Positive,pos_pos
I need a job !,Positive,Positive,pos_pos
"\@Muffinnn_: I'll Ride  or Die  For My Big Bro  """"",Positive,Positive,pos_pos
@easymoney____1 get money big bro  #ville,Positive,Positive,pos_pos
However the turn up will be real at my house tonight after church,Positive,Positive,pos_pos
I Feel Like Fucking!!,Positive,Positive,pos_pos
Bet if any opp try me bet any opp drop,Positive,Positive,pos_pos
Im most deff going too greg kickback,Positive,Positive,pos_pos
Gone Go Broke Trying Keep Up With Me,Positive,Positive,pos_pos
He say he only mess w/bad Bishes ; so I take as Im a Demon .,Positive,Positive,pos_pos
“@boyslovemarkia: YOU KNOW I FUCKS WITH JASZ she a COATED MF!!! ” Hannnnnn,Positive,Positive,pos_pos
If this thigh don't get off my TL imma say something real inappropriate,Positive,Positive,pos_pos
I almost caught up to drea,Positive,Positive,pos_pos
Them boys TURNT this morning  .,Positive,Positive,pos_pos
Ok now I really wanna make this cake .. I have a sweet tooth .,Positive,Positive,pos_pos
I'm the funniest nigga you'll know,Positive,Positive,pos_pos
shooter on shooters,Positive,Positive,pos_pos
Hit my dm doe,Positive,Positive,pos_pos
iSMOKE  TiL I HAVE CHEST PAIN.!,Positive,Positive,pos_pos
Bitch I bring the noise where the lions sleep,Positive,Positive,pos_pos
Ik Some Shit Bout Dawg,Positive,Positive,pos_pos
vamp gang scrong,Positive,Positive,pos_pos
They stamped us like shit,Positive,Positive,pos_pos
✨- the fuck u use all these emojis for ✋,Positive,Positive,pos_pos
My older brova  a cold goon,Positive,Positive,pos_pos
Lemme turn on my savage  cum smoke wit a nigga get ratchet,Positive,Positive,pos_pos
I can give toooo fucks,Positive,Positive,pos_pos
͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟ ͟,Positive,Positive,pos_pos
@SeyiKareem lol  devilish things,Positive,Positive,pos_pos
When bae here I be livin in that pussy,Positive,Positive,pos_pos
"Life is a bitch , I'll make her your ex",Positive,Positive,pos_pos
@ChiefKeef B3 gon b fuckin raw doe king So dee Niggaaa,Positive,Positive,pos_pos
I'm finna do some crazy,Positive,Positive,pos_pos
"They don't know about us , they don't know",Positive,Positive,pos_pos
did you fall asleep with kids?? I'm concerned “@JamesBannister2: I'm young single and woke up with no kids! ☝ I'm blessed!”,Positive,Positive,pos_pos
Only female n my crew n i kick shit like a nigga do,Positive,Positive,pos_pos
Come thru shooting and I'm shooting so fast I'll give a nigga Lypo,Positive,Positive,pos_pos
She say lettuce?,Positive,Positive,pos_pos
"U speaking brokanese like can I have a dollar please!!!!  You talking brokanese I took yo bitch and broke ha knees!! 
Migos x Borkanese",Positive,Positive,pos_pos
"It's summer, fuck problems and have fun Real Shit",Positive,Positive,pos_pos
Fina go look at these puppies tomorrow,Positive,Positive,pos_pos
@_tropic smh stop playin and holla at me,Positive,Positive,pos_pos
Game gone be over capacity tomorrow ⚪️⚪️,Positive,Positive,pos_pos
I was making niggas look goofy at that 7on7,Positive,Positive,pos_pos
undercover hating asx hxxes  I see ya,Positive,Positive,pos_pos
The devil in this bitch!,Positive,Positive,pos_pos
Got The Only Gm Text I Needed,Positive,Positive,pos_pos
Woke up this morning cut all my hair off hello new year!  Planning to do some damage tonight!!!,Positive,Positive,pos_pos
Oh yea......☺ I'm Finna enjoy tomah.!  #goodnight,Positive,Positive,pos_pos
- you pretty but you,Positive,Positive,pos_pos
That's why I'm always wit my niggas when I'm gettin high.,Positive,Positive,pos_pos
We gone get this pappa put that on my mama. You gone see us lata but that on my mama,Positive,Positive,pos_pos
I came into 2k13 single as fuck and I'm leavin single as fuck,Positive,Positive,pos_pos
I feel like #oomf got hostile in that text. I'ma mess with her na,Positive,Positive,pos_pos
Screaming Happy Mf Bday To Bro @Dolce_Dj1500 love youuu turnupppp! hml toma.✊🆙,Positive,Positive,pos_pos
"“@D_aintso_NICE: When Im high I dont just have sex, I perform!  On everything I love”  lol a nigga be going for MVP",Positive,Positive,pos_pos
"\@_ItsOnlyNunu: Bitches fake niggas fake and I can't trust em besides Zaq """"",Positive,Positive,pos_pos
I don't wanna give you the wrong impression.. I need love &amp; affection..,Positive,Positive,pos_pos
You Might Go Hard Bt Bitch iGo Ham,Positive,Positive,pos_pos
@lanitaylor_ &amp; me,Positive,Positive,pos_pos
Should've used  lol,Positive,Positive,pos_pos
"Let Me Hear You Niggas Plotting On Me , Ima Merk You !",Positive,Positive,pos_pos
"Ooooooooo, Cheysha has a lady friend",Positive,Positive,pos_pos
2 days ♑️,Positive,Positive,pos_pos
"I'm coming back to mansion , y'all ready for me ⚡",Positive,Positive,pos_pos
"` Green Tea Helps Me , When i feel sick yo.",Positive,Positive,pos_pos
@0rientalBitch Yess!! Gm,Positive,Positive,pos_pos
Ima lil hot head,Positive,Positive,pos_pos
Fuck around &amp; pull a muscle Tryna flex on me ☝️,Positive,Positive,pos_pos
@bizzy0009 Biz Knowledge: bitches like fucking niggas with bitches.,Positive,Positive,pos_pos
Bitch Bitch Bitch Bitch Bitch Bitch Bitch,Positive,Positive,pos_pos
@We_Deep you already kno who bum ain't no mystery!,Positive,Positive,pos_pos
Levels to this shit young boy,Positive,Positive,pos_pos
I need a charger case,Positive,Positive,pos_pos
Damn Bae was looken eatible Da day,Positive,Positive,pos_pos
"3 type of Niggas

• Niggas that make it happen
• Niggas that watch it happen
• Niggas that don't even know wtf is              going on",Positive,Positive,pos_pos
Cori----&gt; &lt;----will,Positive,Positive,pos_pos
Boy screenshot be killin these niggas  be tryinna talk shit in front ya friends and run like hell when i pull that phone out,Positive,Positive,pos_pos
@MAMA_NISHIA lol stop being so evil,Positive,Positive,pos_pos
8:25 #BDT #VirgoNation ♍️♍️,Positive,Positive,pos_pos
@shani_gorgeous idk if Mariyaa sleep but tell her fuzz playin on tv Toma at 6 on Espn2 channel 30 on Comcast ⚾,Positive,Positive,pos_pos
I got money put upand in the bank I don't got the bag I want ✋but I'm good I'm not done yet I hope u niggas watching,Positive,Positive,pos_pos
Know A Couple Niggas That's Down Ride For A Homicide When It's Dramatime,Positive,Positive,pos_pos
Its a must that Kendrick be in Prom 2k14,Positive,Positive,pos_pos
I'm Gettin Back To My Ways,Positive,Positive,pos_pos
Ion think ron peeped the change,Positive,Positive,pos_pos
I AINT NO CORN,Positive,Positive,pos_pos
Battle of the Real HU this weekend,Positive,Positive,pos_pos
"☺
I got all these Emojis and cants see one.",Positive,Positive,pos_pos
All my niggas shooters,Positive,Positive,pos_pos
Imma be fresh as hell if the Feds watching,Positive,Positive,pos_pos
Got dis lean in me,Positive,Positive,pos_pos
Them high waist pants on a skinny girl with a fat ass,Positive,Positive,pos_pos
U ain't bout that life,Positive,Positive,pos_pos
@Neshaaaa___ why you ain't say it then bitch  but I seen her at the game,Positive,Positive,pos_pos
bitch from magic city... shaking ass and titties,Positive,Positive,pos_pos
Robbed The Plug Now I'm The Plug,Positive,Positive,pos_pos
woke his ass up,Positive,Positive,pos_pos
Witchaaa mad ass..yu gone stay mad fuckin wit me,Positive,Positive,pos_pos
All We Talk About In This Group Message Is ? The Second Most Thing I Love Talking About Not Money But Females,Positive,Positive,pos_pos
U see me stylin on ya bitch ass,Positive,Positive,pos_pos
UnTamed4L Mfers don't want no  @23SpacemaNN @_Untamed4L Squaddddd!!!!,Positive,Positive,pos_pos
Tear This MF Up,Positive,Positive,pos_pos
Still up vampin tho,Positive,Positive,pos_pos
all I do is talk shit but I can back it up too tho,Positive,Positive,pos_pos
Lol “@_RandySavage: That breath she take when I … nvm it’s Sunday. ”,Positive,Positive,pos_pos
I want that Actavist I want that straight drop.,Positive,Positive,pos_pos
What Mfs On For Halloween,Positive,Positive,pos_pos
I'm on this money hunt bitch i buy what i want I'm addicted to the guap,Positive,Positive,pos_pos
"Mannn coool down, hoe ass lol",Positive,Positive,pos_pos
Bang bang Goonie gang,Positive,Positive,pos_pos
Sevyn Streeter x Sex on the ceiling,Positive,Positive,pos_pos
had a situation where she kept it g asf sometimes realer then the niggas that I trust,Positive,Positive,pos_pos
"\@Fameee_: Class of 2014 """"",Positive,Positive,pos_pos
"If you still up , you a real nigga .  #VL",Positive,Positive,pos_pos
playing the game,Positive,Positive,pos_pos
I don't got time for games or play with people,Positive,Positive,pos_pos
The ice man,Positive,Positive,pos_pos
cutting everybody off,Positive,Positive,pos_pos
if Brittany goes missing ...well her ass will just be missing,Positive,Positive,pos_pos
@YoungYA_ @___Squadd DH I didn't come for u  u Betta had took ur ass home too like I said ✌️,Positive,Positive,pos_pos
We Grew Up On LOYALTY EBK A BrotherShip,Positive,Positive,pos_pos
Send me emojis✊✊✊⛅️✊,Positive,Positive,pos_pos
man I gottah get rich gottah grind all winter so I can shine all summer,Positive,Positive,pos_pos
Still up vamping,Positive,Positive,pos_pos
Ooooooo I think she cute I'm Trynna pull dat,Positive,Positive,pos_pos
Make a fuck nigga ask for his hoe back.,Positive,Positive,pos_pos
Beyonce' has made me want to go buy a surf board,Positive,Positive,pos_pos
Workin' 3-11 Today But Tomorrow Im Off,Positive,Positive,pos_pos
These freshman women gone unleash they BORNSINNER LOL,Positive,Positive,pos_pos
Made my money back that I spent,Positive,Positive,pos_pos
@ChiefKeef #B3  ima be wanting to kill niggas,Positive,Positive,pos_pos
“@Quawn_A1: That Cheating Shit Lame  Them Little Kids Games ”,Positive,Positive,pos_pos
@g0ldsteez__ wassup  lol .,Positive,Positive,pos_pos
YO GOTTI FUCK YOU,Positive,Positive,pos_pos
"Don't worry about me, baby I'm good",Positive,Positive,pos_pos
Double cup full of that UGK,Positive,Positive,pos_pos
I heard she got a thang for them boss niggas,Positive,Positive,pos_pos
i cant put my finger on it .. but if i ever do .. its gon get ugly .. real fuckin ugly,Positive,Positive,pos_pos
Juicy J tonight &amp;&amp; thirsty Thursday tomorrow..,Positive,Positive,pos_pos
A lot of theses hoes just be talking they ain't bout that sex life !,Positive,Positive,pos_pos
Rise and Grind,Positive,Positive,pos_pos
Needs some rounds tonite,Positive,Positive,pos_pos
Outside All Night,Positive,Positive,pos_pos
19 hours &amp; I'm still up Vampin or What,Positive,Positive,pos_pos
Wonder what she gone say,Positive,Positive,pos_pos
Girl you should know that  your love  is I always on my mind ✊,Positive,Positive,pos_pos
"\@214LilCorey: #FYHKushBack3 """"",Positive,Positive,pos_pos
✔️- I don't fwy boul,Positive,Positive,pos_pos
If Not Even Going Feel Right If The Ravens Not In The PlayOffs,Positive,Positive,pos_pos
My phone is blue,Positive,Positive,pos_pos
@MIABabyFace @_EastsidePeezy @Icewear_Vezzo  #GreenGuyz and #TeamEastSide My Idols!,Positive,Positive,pos_pos
"I Aint Done Turning Up Bitch , Im To Busy Turning Up Shit",Positive,Positive,pos_pos
Ready for the weekend with my bishes,Positive,Positive,pos_pos
Can't go to sleep bout tht vamp life lol,Positive,Positive,pos_pos
If You Aint Got Yo Bitch In Check  You A Lame!,Positive,Positive,pos_pos
Why would mastery do this to me ! I'm Fallin asleep in somebody class Tommr  idc,Positive,Positive,pos_pos
"“@JustBeingNae: boy you know we got thangs to do, so get your ass in that car and come thru”",Positive,Positive,pos_pos
“@MindOfA_Loner: @___Sizzzleee its past your bedtime dh”chill dh I never sleep,Positive,Positive,pos_pos
", y'all was like my sisters I considered y'all as folks ✊ grimmey ass bitches man you never play em close  .",Positive,Positive,pos_pos
@J2beauty__ thank you,Positive,Positive,pos_pos
My Shit Vampinn,Positive,Positive,pos_pos
You need that work I got that work,Positive,Positive,pos_pos
"Niggas broke, acting like they got it doe.",Positive,Positive,pos_pos
"@dattniggamatt_ Good morning, You mad?",Positive,Positive,pos_pos
Call me when ya nigga aint around,Positive,Positive,pos_pos
TryOuts Tomorrow  Let's Get It Playboy,Positive,Positive,pos_pos
"“@___pinkcocaine: Once You Get Attached To Someone  , Its Soooo Hard To Break Away From Them ”✊",Positive,Positive,pos_pos
I been rocking with gotti lately,Positive,Positive,pos_pos
"Where my brava at moe, im tryna spark some purple shit",Positive,Positive,pos_pos
"yeen riding yeen riding , yeen bumping like I'm bumping",Positive,Positive,pos_pos
I hit a nigga main in the TRAP  . That mean she a #BandoFreak .,Positive,Positive,pos_pos
- your cute,Positive,Positive,pos_pos
Might fuck ha good but I ain't gon lick ha,Positive,Positive,pos_pos
I'm BallOut &amp; I go to the mall &amp; buy the mall out ✊,Positive,Positive,pos_pos
“@FREDOSANTANA300: #ScarySite2 is done well almost it's like 95% done and damn this shit hard is hell ”#SQUAD!,Positive,Positive,pos_pos
Internet gangstas bitch u straight fufu,Positive,Positive,pos_pos
im not mad you  i been knew about you,Positive,Positive,pos_pos
“@ChasingThat__: Talm Bout Hoes At The Ridge Looking Like” nbs my gf want even have to worry bout me looking,Positive,Positive,pos_pos
You Betta Boss Up Bitch!,Positive,Positive,pos_pos
Don't EVER make a mf think you need them Bitch I enjoy your company but lets not get confusedIm good with or without you,Positive,Positive,pos_pos
“@_aigneaa: somebody read all my DM's though .”,Positive,Positive,pos_pos
@_KingCay lol yes I do!!!,Positive,Positive,pos_pos
You can't keep up cuz you bitches to lame ✌️..,Positive,Positive,pos_pos
2014 gone be clutch I'm ona comeback. ‼️,Positive,Positive,pos_pos
"@Macdaddydess I ain't snake shit, shidd il do it again",Positive,Positive,pos_pos
- You look good,Positive,Positive,pos_pos
“@__itsChels: @1BlackToot ”,Positive,Positive,pos_pos
If not then ima fuck yo sister,Positive,Positive,pos_pos
Stephen curry cold but everybody knows Seth curry my nigga since he first step foot in duke ..  .. #Duke,Positive,Positive,pos_pos
I Guess Cause Its My Favorite,Positive,Positive,pos_pos
I jus want half,Positive,Positive,pos_pos
Hdm ‼️ ( gotta reply ),Positive,Positive,pos_pos
Lucifer's real name is Shaine,Positive,Positive,pos_pos
Gotta couple shottas on my team,Positive,Positive,pos_pos
I Don't Got Feelings Wack Ah Nigga And Put Dick In His Sister,Positive,Positive,pos_pos
Yoooo tha club was LITT LAST NIGHT THEY LET ME IN THAT BITCH,Positive,Positive,pos_pos
